"Label","id","Abundance","Type","Class","Gene"
"2024 Branch",1,0,"ARG","Aminoglycoside","2024 Branch"
"2429 Branch",2,0,"ARG","Other","2429 Branch"
"a 2394 Branch",3,0,"ARG","Aminoglycoside","a 2394 Branch"
"aac6 lm",4,0,"ARG","Aminoglycoside","aac6 lm"
"aadA9",5,0,"ARG","Aminoglycoside","aadA9"
"aadD",6,0,"ARG","Aminoglycoside","aadD"
"acrD",7,3451.71,"ARG","MDR","acrD"
"acrE",8,2438.58,"ARG","MDR","acrE"
"acrF",9,2671.31,"ARG","MDR","acrF"
"acrS",10,3999.32,"ARG","MDR","acrS"
"ant6 Ib",11,1560.96,"ARG","Aminoglycoside","ant6 Ib"
"aph3 III",12,1755.83,"ARG","Aminoglycoside","aph3 III"
"aph6 Id",13,0,"ARG","Aminoglycoside","aph6 Id"
"arnA",14,2772.59,"ARG","Polymyxin","arnA"
"bacA",15,6950.61,"ARG","Bacitracin","bacA"
"baeR",16,5022.82,"ARG","MDR","baeR"
"baeS",17,6130.47,"ARG","MDR","baeS"
"bcrA",18,0,"ARG","Bacitracin","bcrA"
"bla 1029 Branch",19,0,"ARG","Beta-lactam","bla 1029 Branch"
"bla 1030 Branch",20,0,"ARG","Beta-lactam","bla 1030 Branch"
"blaACI 1",21,48075.26,"ARG","Beta-lactam","blaACI 1"
"blaAmpC",22,1349.76,"ARG","Beta-lactam","blaAmpC"
"blaAmpH",23,2823.24,"ARG","Beta-lactam","blaAmpH"
"blaCMY 111",24,0,"ARG","Beta-lactam","blaCMY 111"
"blaCMY 27",25,0,"ARG","Beta-lactam","blaCMY 27"
"blaCMY 32",26,0,"ARG","Beta-lactam","blaCMY 32"
"bmr",27,0,"ARG","MDR","bmr"
"catB4",28,0,"ARG","Phenicol","catB4"
"cfxA 2366",29,30006.46,"ARG","Beta-lactam","cfxA 2366"
"cfxA 2367",30,117236.51,"ARG","Beta-lactam","cfxA 2367"
"cfxA2",31,0,"ARG","Beta-lactam","cfxA2"
"cfxA3",32,0,"ARG","Beta-lactam","cfxA3"
"cfxA6",33,32488.19,"ARG","Beta-lactam","cfxA6"
"clbC",34,474.88,"ARG","Macrolide","clbC"
"cpxA",35,2439.21,"ARG","MDR","cpxA"
